food_name,energy,protein,fat,carbohydrate
単位,,,,
成分識別子,,,,
アマランサス　玄穀,1452.0,12.7,6.0,64.9
あわ　精白粒,1466.0,11.2,4.4,69.7
あわ　あわもち,890.0,5.1,1.3,45.3
えんばく　オートミール,1479.0,13.7,5.7,69.1
おおむぎ　七分つき押麦,1454.0,10.9,2.1,72.1
おおむぎ　押麦　乾,1395.0,6.7,1.5,78.3
おおむぎ　押麦　めし,500.0,2.2,0.5,28.5
おおむぎ　米粒麦,1407.0,7.0,2.1,76.2
おおむぎ　大麦めん　乾,1457.0,12.9,1.7,68.0
おおむぎ　大麦めん　ゆで,516.0,4.8,0.6,24.3
おおむぎ　麦こがし,1553.0,12.5,5.0,77.1
キヌア　玄穀,1455.0,13.4,3.2,69.0
きび　精白粒,1496.0,11.3,3.3,70.9
こむぎ　［玄穀］　国産　普通,1391.0,10.8,3.1,72.1
こむぎ　［玄穀］　輸入　軟質,1457.0,10.1,3.3,75.2
こむぎ　［玄穀］　輸入　硬質,1406.0,13.0,3.0,69.4
こむぎ　［小麦粉］　薄力粉　1等,1485.0,8.3,1.5,75.8
こむぎ　［小麦粉］　薄力粉　2等,1467.0,9.3,1.9,74.3
こむぎ　［小麦粉］　中力粉　1等,1435.0,9.0,1.6,75.1
こむぎ　［小麦粉］　中力粉　2等,1466.0,9.7,1.8,74.0
こむぎ　［小麦粉］　強力粉　1等,1432.0,11.8,1.5,71.7
こむぎ　［小麦粉］　強力粉　2等,1455.0,12.6,1.7,70.6
こむぎ　［小麦粉］　強力粉　全粒粉,1356.0,12.8,2.9,68.2
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,1426.0,10.1,1.9,73.6
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,1529.0,7.8,4.0,74.4
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,1325.0,10.2,1.2,70.0
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,1434.0,8.8,1.3,76.1
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,563.0,3.3,0.5,30.2
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,2439.0,4.3,47.7,37.0
こむぎ　［パン類］　角形食パン　食パン,1050.0,8.9,4.1,46.4
こむぎ　［パン類］　角形食パン　焼き,1138.0,9.7,4.5,50.6
こむぎ　［パン類］　角形食パン　耳を除いたもの,955.0,8.2,3.7,42.6
こむぎ　［パン類］　角形食パン　耳,1152.0,,,
こむぎ　［パン類］　食パン　リーンタイプ,1045.0,,,
こむぎ　［パン類］　食パン　リッチタイプ,1085.0,,,
こむぎ　［パン類］　山形食パン　食パン,1043.0,,,
こむぎ　［パン類］　コッペパン,1155.0,9.2,3.8,54.7
こむぎ　［パン類］　バンズ,1159.0,10.4,4.8,50.6
こむぎ　［パン類］　乾パン,1639.0,9.5,4.4,78.8
こむぎ　［パン類］　フランスパン,1231.0,9.4,1.3,57.5
こむぎ　［パン類］　ライ麦パン,1066.0,8.4,2.2,52.7
こむぎ　［パン類］　全粒粉パン,1059.0,7.9,5.7,45.5
こむぎ　［パン類］　ぶどうパン,1113.0,8.2,3.5,51.1
こむぎ　［パン類］　ロールパン,1304.0,10.1,9.0,48.6
こむぎ　［パン類］　クロワッサン　レギュラータイプ,1702.0,,,
こむぎ　［パン類］　クロワッサン　リッチタイプ,1828.0,7.9,26.8,43.9
こむぎ　［パン類］　くるみパン,1225.0,,,
こむぎ　［パン類］　イングリッシュマフィン,946.0,8.1,3.6,40.8
こむぎ　［パン類］　ナン,1086.0,10.3,3.4,47.6
こむぎ　［パン類］　ベーグル,1142.0,9.6,2.0,54.6
こむぎ　［うどん・そうめん類］　うどん　生,1058.0,6.1,0.6,56.8
こむぎ　［うどん・そうめん類］　うどん　ゆで,402.0,2.6,0.4,21.6
こむぎ　［うどん・そうめん類］　うどん　半生うどん,1257.0,,,
こむぎ　［うどん・そうめん類］　干しうどん　乾,1420.0,8.5,1.1,71.9
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,498.0,3.1,0.5,25.8
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,1413.0,9.5,1.1,72.7
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,487.0,3.5,0.4,25.8
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,1329.0,9.3,1.5,68.9
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,506.0,3.5,0.6,25.5
こむぎ　［中華めん類］　中華めん　生,1057.0,8.6,1.2,55.7
こむぎ　［中華めん類］　中華めん　ゆで,564.0,4.9,0.6,29.2
こむぎ　［中華めん類］　半生中華めん　,1293.0,,,
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,686.0,4.9,1.7,35.6
こむぎ　［中華めん類］　蒸し中華めん  ソテー,893.0,5.2,4.9,38.9
こむぎ　［中華めん類］　干し中華めん　乾,1433.0,11.7,1.6,70.2
こむぎ　［中華めん類］　干し中華めん　ゆで,558.0,4.9,0.5,27.5
こむぎ　［中華めん類］　沖縄そば　生,1128.0,9.2,2.0,54.2
こむぎ　［中華めん類］　沖縄そば　ゆで,561.0,5.2,0.8,28.0
こむぎ　［中華めん類］　干し沖縄そば　乾,1349.0,12.0,1.7,67.8
こむぎ　［中華めん類］　干し沖縄そば　ゆで,561.0,5.2,0.6,28.6
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,1785.0,10.1,16.7,63.5
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,1847.0,10.1,19.1,61.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,421.0,,,
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,793.0,3.9,7.7,27.9
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,1902.0,8.9,19.6,65.5
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,1426.0,10.3,5.2,67.1
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,392.0,,,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,588.0,3.4,0.8,31.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,1419.0,8.5,1.9,75.2
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,1772.0,10.9,18.5,58.6
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,386.0,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,735.0,3.8,7.7,25.2
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,1748.0,10.0,19.1,54.6
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,374.0,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,596.0,3.0,5.8,20.7
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,1757.0,8.2,18.6,57.5
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,929.0,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,1326.0,9.2,5.8,62.6
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,277.0,,,
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,514.0,3.4,1.3,25.3
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,1835.0,10.9,19.8,56.1
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,382.0,,,
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,683.0,2.7,7.2,24.4
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,1476.0,12.9,1.8,73.1
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,636.0,5.8,0.9,32.2
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,785.0,,,
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,982.0,7.8,1.9,46.9
こむぎ　［ふ類］　生ふ,684.0,12.7,0.8,26.2
こむぎ　［ふ類］　焼きふ　釜焼きふ,1511.0,28.5,2.7,56.9
こむぎ　［ふ類］　焼きふ　板ふ,1488.0,25.6,3.3,57.3
こむぎ　［ふ類］　焼きふ　車ふ,1528.0,30.2,3.4,54.2
こむぎ　［ふ類］　油ふ,2279.0,22.7,35.3,34.4
こむぎ　［その他］　小麦はいが,1642.0,32.0,11.6,48.3
こむぎ　［その他］　小麦たんぱく　粉末状,1682.0,72.0,9.7,10.6
こむぎ　［その他］　小麦たんぱく　粒状,429.0,20.0,2.0,1.8
こむぎ　［その他］　小麦たんぱく　ペースト状,613.0,25.0,4.1,3.9
こむぎ　［その他］　かやきせんべい,1525.0,10.6,1.9,75.1
こむぎ　［その他］　ぎょうざの皮　生,1172.0,9.3,1.4,57.0
こむぎ　［その他］　しゅうまいの皮　生,1169.0,8.3,1.4,58.9
こむぎ　［その他］　春巻きの皮　生,1218.0,8.3,1.6,62.2
こむぎ　［その他］　春巻きの皮　揚げ,2135.0,7.2,30.7,53.7
こむぎ　［その他］　ピザ生地,1124.0,9.1,3.0,51.1
こむぎ　［その他］　ちくわぶ,677.0,7.1,1.2,31.1
こむぎ　［その他］　パン粉　生,1173.0,11.0,5.1,47.6
こむぎ　［その他］　パン粉　半生,1336.0,12.5,5.8,54.3
こむぎ　［その他］　パン粉　乾燥,1479.0,14.9,4.1,67.4
こむぎ　［その他］　冷めん　生,1058.0,3.9,0.7,57.6
こめ　［水稲穀粒］　玄米,1472.0,6.8,2.7,74.3
こめ　［水稲穀粒］　半つき米,1470.0,6.5,1.8,75.9
こめ　［水稲穀粒］　七分つき米,1483.0,6.3,1.5,76.6
こめ　［水稲穀粒］　精白米　うるち米,1455.0,6.1,0.9,77.6
こめ　［水稲穀粒］　精白米　もち米,1455.0,6.4,1.2,77.2
こめ　［水稲穀粒］　精白米　インディカ米,1472.0,7.4,0.9,77.7
こめ　［水稲穀粒］　はいが精米,1460.0,6.5,2.0,75.8
こめ　［水稲穀粒］　発芽玄米,1440.0,6.5,3.3,74.3
こめ　［水稲穀粒］　赤米,1460.0,8.5,3.3,71.9
こめ　［水稲穀粒］　黒米,1447.0,7.8,3.2,72.0
こめ　［水稲めし］　玄米,647.0,2.8,1.0,35.6
こめ　［水稲めし］　半つき米,654.0,2.7,0.6,36.4
こめ　［水稲めし］　七分つき米,681.0,2.6,0.5,36.7
こめ　［水稲めし］　精白米　インディカ米,781.0,3.8,0.4,41.5
こめ　［水稲めし］　精白米　うるち米,663.0,2.5,0.3,37.1
こめ　［水稲めし］　精白米　もち米,801.0,3.5,0.5,43.9
こめ　［水稲めし］　はいが精米,679.0,2.7,0.6,36.4
こめ　［水稲めし］　発芽玄米,680.0,3.0,1.4,35.0
こめ　［水稲めし］　赤米,636.0,3.8,1.3,32.7
こめ　［水稲めし］　黒米,634.0,3.6,1.4,32.2
こめ　［水稲軟めし］　精白米,482.0,,,
こめ　［水稲全かゆ］　玄米,274.0,,,
こめ　［水稲全かゆ］　半つき米,278.0,,,
こめ　［水稲全かゆ］　七分つき米,289.0,,,
こめ　［水稲全かゆ］　精白米,278.0,,,
こめ　［水稲五分かゆ］　玄米,137.0,,,
こめ　［水稲五分かゆ］　半つき米,138.0,,,
こめ　［水稲五分かゆ］　七分つき米,138.0,,,
こめ　［水稲五分かゆ］　精白米,141.0,,,
こめ　［水稲おもゆ］　玄米,81.0,,,
こめ　［水稲おもゆ］　半つき米,82.0,,,
こめ　［水稲おもゆ］　七分つき米,87.0,,,
こめ　［水稲おもゆ］　精白米,80.0,,0.0,
こめ　［陸稲穀粒］　玄米,1517.0,10.1,2.7,71.1
